,name,abv,cat_name
0,Penn Weizen,4.0,German Ale
1,Heat Seeker Hefe,4.0,German Ale
2,Jack of Spades Schwarzbier,3.9,German Lager
3,Black Abbot / Schwarzer Abt,3.9,German Lager
4,Caguama,3.9,German Lager
5,Zone 7 Porter,3.8,Irish Ale
6,Petite Orval,3.5,Belgian and French Ale
7,Sea Dog Apricot Wheat,3.5,Other Style
8,Sea Dog Blue Paw Wheat,3.5,Other Style
9,Huckleberry Ale,3.5,Other Style
10,Arthur's Mild Ale,3.2,British Ale
11,Dark Mild,3.2,British Ale
12,Nut Brown Ale,3.2,North American Ale
13,Estrella Levante Sin 0.0% Alcohol,1.0,Other Lager
14,Birell,0.5,North American Lager
